CustomerID,Age,Annual_Income,Spending_Score,Gender,Work_Experience,Family_Size
1,56,143000,47,Male,0,5
2,69,87000,76,Female,29,5
3,46,60000,69,Male,36,1
4,32,120000,31,Female,22,1
5,60,46000,92,Male,0,3
6,25,20000,92,Male,18,5
7,38,88000,30,Male,2,5
8,56,128000,18,Female,1,7
9,36,41000,44,Male,36,2
10,40,68000,27,Male,16,7
11,28,99000,99,Female,27,6
12,28,141000,26,Male,17,2
13,41,125000,60,Female,32,7
14,53,29000,18,Female,14,5
15,57,146000,97,Male,21,2
16,41,107000,89,Female,26,5
17,20,137000,56,Male,36,4
18,39,87000,31,Male,31,3
19,19,106000,59,Female,18,2
20,41,31000,2,Male,27,5
21,61,57000,97,Male,27,2
22,47,135000,39,Female,9,6
23,55,55000,61,Female,19,3
24,19,53000,63,Male,24,4
25,38,127000,96,Female,20,1
26,50,125000,18,Female,13,1
27,29,61000,17,Female,21,2
28,39,77000,98,Female,25,5
29,61,124000,39,Male,10,6
30,42,83000,71,Male,6,3
31,66,57000,54,Female,16,4
32,44,48000,99,Male,17,4
33,59,54000,94,Female,6,7
34,45,75000,76,Female,19,4
35,33,76000,35,Male,37,1
36,32,72000,11,Male,10,3
37,64,89000,61,Male,15,7
38,68,30000,44,Male,26,1
39,61,96000,68,Female,10,2
40,69,108000,25,Female,15,4
41,20,62000,48,Male,22,3
42,54,96000,32,Female,11,4
43,68,52000,84,Male,39,1
44,24,141000,95,Male,2,1
45,38,33000,4,Male,1,1
46,26,77000,38,Female,37,4
47,56,91000,63,Female,23,3
48,35,145000,47,Male,28,3
49,21,116000,1,Male,33,2
50,42,79000,3,Male,19,4
51,31,134000,86,Male,17,2
52,67,105000,62,Female,13,6
53,26,22000,64,Female,17,2
54,43,87000,17,Male,1,2
55,19,148000,78,Male,0,2
56,37,121000,62,Female,19,1
57,45,103000,35,Male,33,6
58,64,53000,13,Female,10,7
59,24,127000,35,Female,26,2
60,61,42000,43,Male,22,3
61,25,111000,2,Female,37,2
62,64,51000,56,Female,2,1
63,52,96000,77,Female,11,5
64,31,70000,51,Female,29,7
65,34,99000,54,Male,30,6
66,53,16000,16,Female,22,5
67,67,72000,18,Female,0,5
68,57,121000,7,Female,19,6
69,21,137000,45,Male,5,4
70,19,128000,36,Male,10,7
71,23,121000,41,Male,34,7
72,59,51000,94,Female,3,3
73,21,93000,42,Male,28,1
74,46,106000,7,Male,9,6
75,35,32000,15,Male,28,5
76,43,112000,60,Female,37,1
77,61,77000,40,Male,0,1
78,51,18000,83,Male,39,4
79,27,149000,37,Male,7,5
80,53,75000,66,Female,37,2
81,31,121000,55,Female,16,1
82,48,68000,77,Male,18,5
83,65,102000,95,Male,32,7
84,32,82000,80,Male,14,1
85,25,143000,56,Female,30,4
86,31,69000,44,Female,20,4
87,40,17000,57,Male,2,2
88,57,135000,6,Female,1,4
89,38,143000,92,Male,34,5
90,33,116000,32,Female,15,6
91,62,52000,74,Male,20,4
92,35,99000,18,Female,11,6
93,64,147000,68,Male,27,2
94,41,106000,73,Female,11,7
95,43,35000,7,Male,32,3
96,42,123000,8,Male,19,1
97,62,61000,64,Male,39,1
98,58,98000,7,Male,20,5
99,46,97000,41,Female,38,2
100,32,49000,40,Male,35,2
101,62,83000,3,Female,21,2
102,18,143000,17,Female,25,1
103,42,41000,66,Male,6,4
104,24,70000,79,Male,6,1
105,26,37000,93,Male,7,1
106,41,35000,52,Male,25,1
107,18,75000,22,Female,23,7
108,61,77000,4,Female,23,7
109,25,136000,6,Female,39,4
110,41,66000,38,Female,11,3
111,28,102000,26,Male,7,5
112,68,69000,11,Female,8,3
113,34,60000,90,Male,2,3
114,25,46000,17,Male,20,1
115,52,69000,88,Female,30,3
116,52,110000,92,Female,23,1
117,50,147000,99,Female,3,1
118,22,50000,31,Female,19,5
119,59,124000,77,Female,15,2
120,56,120000,35,Female,9,1
121,58,72000,16,Male,25,7
122,45,53000,79,Male,28,3
123,24,94000,18,Male,4,5
124,26,111000,62,Female,10,6
125,25,127000,27,Male,28,6
126,29,75000,35,Male,14,6
127,51,20000,45,Male,5,3
128,50,123000,35,Male,14,2
129,65,49000,28,Male,19,4
130,40,53000,9,Male,33,2
131,41,132000,76,Female,1,5
132,54,19000,15,Female,15,2
133,52,101000,21,Female,18,6
134,61,90000,52,Male,33,2
135,57,71000,35,Female,13,5
136,39,141000,97,Female,23,5
137,44,43000,51,Male,27,6
138,52,101000,83,Female,31,7
139,18,60000,55,Male,36,3
140,52,130000,87,Female,9,1
141,54,126000,77,Male,8,4
142,64,59000,44,Male,23,4
143,31,118000,65,Female,35,6
144,20,99000,93,Male,28,7
145,18,148000,88,Female,28,4
146,22,122000,80,Male,22,2
147,43,32000,25,Female,26,5
148,31,108000,87,Female,30,7
149,56,47000,92,Male,6,5
150,44,140000,47,Female,3,6
151,26,136000,80,Female,13,5
152,32,129000,56,Female,9,1
153,32,42000,38,Male,33,5
154,43,25000,11,Male,25,5
155,59,61000,67,Female,22,7
156,30,141000,15,Female,8,2
157,68,132000,1,Male,36,3
158,49,140000,7,Male,7,4
159,56,86000,1,Female,13,2
160,66,121000,49,Male,6,2
161,69,47000,96,Male,6,2
162,49,33000,73,Female,8,4
163,21,88000,29,Male,2,6
164,47,112000,26,Male,13,2
165,54,143000,87,Male,16,3
166,40,107000,45,Female,21,6
167,56,62000,93,Male,25,5
168,62,78000,97,Female,27,3
169,32,75000,71,Male,13,7
170,60,53000,12,Male,8,6
171,46,142000,95,Female,25,5
172,53,102000,32,Female,1,5
173,30,40000,20,Female,10,2
174,49,31000,51,Female,16,2
175,24,85000,81,Male,33,4
176,68,27000,36,Female,18,1
177,39,83000,67,Female,38,3
178,45,40000,1,Female,17,4
179,19,63000,27,Male,12,4
180,59,21000,40,Male,4,3
181,62,72000,97,Female,22,6
182,23,63000,84,Female,23,7
183,45,117000,14,Female,28,3
184,45,67000,69,Female,7,5
185,61,76000,87,Male,25,7
186,61,31000,79,Female,14,1
187,37,39000,6,Male,0,6
188,47,145000,33,Female,27,2
189,28,43000,55,Female,13,1
190,45,131000,19,Male,33,1
191,42,40000,77,Female,30,2
192,56,138000,29,Female,5,1
193,50,39000,61,Female,4,6
194,18,68000,70,Female,30,6
195,44,87000,79,Male,36,6
196,69,134000,80,Female,14,4
197,30,70000,24,Female,14,4
198,58,79000,23,Male,4,6
199,20,107000,10,Female,27,2
200,56,100000,54,Male,32,2
201,23,94000,41,Female,10,3
202,25,122000,49,Female,5,3
203,44,132000,17,Female,22,6
204,26,97000,56,Male,39,7
205,54,29000,45,Male,1,1
206,50,145000,30,Female,14,1
207,68,44000,44,Male,22,2
208,59,71000,74,Female,21,7
209,61,142000,55,Male,8,1
210,41,62000,19,Female,39,5
211,32,36000,29,Male,29,4
212,49,20000,2,Female,15,1
213,49,118000,36,Male,29,1
214,41,50000,19,Male,8,3
215,58,93000,7,Male,0,5
216,69,130000,26,Male,37,1
217,66,71000,79,Female,7,4
218,66,63000,38,Female,17,1
219,69,96000,3,Male,26,2
220,29,80000,80,Female,17,5
221,56,91000,66,Male,31,1
222,19,59000,95,Female,31,7
223,20,93000,92,Male,35,5
224,66,34000,71,Female,35,1
225,54,137000,94,Female,20,4
226,66,81000,43,Male,31,4
227,34,97000,62,Male,30,5
228,66,17000,71,Male,36,6
229,19,78000,93,Male,15,3
230,19,54000,24,Male,13,3
231,45,73000,39,Female,23,2
232,40,76000,68,Male,24,6
233,54,146000,93,Female,34,3
234,49,74000,44,Male,16,5
235,50,130000,5,Female,3,3
236,18,89000,55,Female,10,2
237,36,136000,93,Male,14,1
238,19,121000,30,Male,29,3
239,61,110000,29,Female,23,5
240,43,105000,26,Female,1,5
241,49,144000,83,Male,33,2
242,23,76000,26,Female,22,7
243,49,63000,37,Female,30,2
244,21,106000,91,Female,36,7
245,28,138000,94,Female,12,4
246,34,75000,53,Female,32,4
247,55,62000,30,Female,6,4
248,41,72000,3,Male,31,7
249,22,115000,43,Male,6,1
250,69,126000,7,Male,37,5
251,51,76000,49,Male,12,4
252,23,53000,73,Female,23,5
253,39,72000,41,Male,27,2
254,28,113000,77,Female,31,1
255,65,58000,79,Female,17,2
256,33,43000,54,Male,33,5
257,50,73000,69,Male,33,6
258,26,85000,93,Female,37,7
259,23,106000,99,Male,0,6
260,33,23000,91,Male,30,4
261,46,141000,27,Female,0,6
262,20,148000,8,Female,15,2
263,37,145000,32,Female,38,7
264,53,35000,84,Female,14,6
265,36,78000,64,Female,32,3
266,43,104000,10,Female,22,1
267,20,50000,13,Male,33,5
268,36,76000,63,Male,16,7
269,37,90000,93,Male,24,4
270,49,27000,35,Female,5,2
271,24,25000,61,Female,30,1
272,69,68000,54,Male,4,4
273,58,30000,8,Male,39,2
274,50,22000,29,Male,39,6
275,57,118000,95,Female,29,7
276,56,73000,41,Male,4,5
277,35,71000,30,Male,11,7
278,57,54000,86,Male,6,3
279,18,144000,21,Female,12,3
280,28,108000,76,Male,3,7
281,45,58000,11,Male,2,6
282,42,94000,2,Female,11,5
283,67,95000,50,Female,0,1
284,40,16000,41,Female,26,5
285,48,129000,66,Female,12,6
286,47,104000,98,Female,16,2
287,59,37000,3,Male,7,7
288,52,76000,80,Male,31,7
289,24,127000,51,Female,19,7
290,33,142000,68,Female,16,7
291,43,76000,87,Female,33,1
292,65,52000,84,Female,34,3
293,69,75000,25,Male,34,6
294,66,143000,30,Male,37,2
295,19,136000,82,Female,23,6
296,18,124000,11,Female,17,4
297,65,27000,93,Female,38,4
298,29,114000,17,Female,32,4
299,22,149000,26,Male,22,3
300,54,36000,23,Female,24,5
301,49,88000,56,Female,36,1
302,26,146000,52,Male,26,7
303,58,37000,48,Female,0,3
304,52,133000,20,Male,20,2
305,36,84000,2,Female,9,2
306,65,98000,88,Female,30,4
307,33,115000,31,Male,24,1
308,20,98000,27,Female,19,4
309,37,42000,2,Male,1,2
310,41,15000,78,Male,14,2
311,50,77000,4,Male,27,7
312,41,36000,13,Female,12,5
313,69,84000,35,Female,13,7
314,28,139000,72,Male,1,5
315,66,110000,66,Female,33,7
316,25,93000,6,Female,34,5
317,53,19000,31,Female,36,4
318,55,74000,10,Male,24,6
319,57,134000,21,Male,14,1
320,37,60000,74,Female,11,5
321,52,148000,23,Male,8,3
322,65,70000,3,Female,30,5
323,42,124000,32,Female,13,4
324,52,118000,20,Female,28,1
325,42,91000,74,Male,37,5
326,46,16000,29,Male,7,7
327,35,22000,52,Female,2,1
328,63,89000,46,Male,1,3
329,35,139000,34,Female,15,2
330,19,52000,84,Male,18,7
331,52,41000,61,Male,29,1
332,33,34000,72,Male,15,6
333,58,57000,71,Female,30,5
334,53,45000,70,Female,27,7
335,50,105000,11,Female,3,4
336,21,75000,82,Male,9,6
337,50,123000,93,Female,17,6
338,31,105000,89,Female,31,4
339,38,109000,63,Female,29,4
340,65,27000,21,Female,35,4
341,37,127000,3,Male,8,6
342,25,49000,82,Male,35,1
343,24,62000,88,Female,28,4
344,20,49000,10,Male,15,2
345,34,100000,27,Male,27,6
346,50,128000,12,Male,20,6
347,65,114000,7,Male,1,6
348,29,113000,17,Male,34,3
349,68,17000,65,Female,27,1
350,39,99000,64,Male,35,1
351,39,139000,26,Female,30,4
352,63,97000,15,Female,32,6
353,47,39000,33,Female,22,7
354,55,82000,62,Male,16,6
355,55,75000,47,Male,0,4
356,62,43000,95,Male,22,1
357,68,141000,35,Male,26,4
358,25,33000,65,Female,24,4
359,44,88000,72,Female,31,4
360,44,75000,76,Female,18,4
361,51,34000,83,Male,23,4
362,38,62000,25,Female,2,5
363,47,101000,57,Female,11,5
364,50,124000,32,Female,34,6
365,45,42000,63,Male,14,6
366,64,73000,12,Female,16,7
367,50,147000,63,Female,31,7
368,22,65000,77,Male,6,5
369,65,26000,92,Female,18,1
370,36,64000,1,Male,6,3
371,21,146000,51,Female,4,1
372,52,127000,70,Male,39,7
373,66,28000,8,Male,20,6
374,34,46000,68,Male,6,5
375,61,69000,5,Female,36,1
376,45,134000,89,Female,22,3
377,47,89000,86,Male,10,4
