price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,house_age,years_since_renovation,total_sqft,price_log
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,Shoreline,70,20,9252,12.653961664405365
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,Seattle,104,0,12700,14.684290726630376
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,Kent,59,0,13877,12.742568940017076
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,Bellevue,62,0,10030,12.948012371209098
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,Redmond,49,33,12440,13.217675375388819
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,Seattle,87,31,7260,13.102162710901053
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,Redmond,49,0,3910,12.721888795877375
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,Maple Valley,36,0,38578,13.085701467719382
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,North Bend,40,0,90856,13.022545252064427
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,Seattle,80,15,7720,13.369225017834633
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,Lake Forest Park,77,31,9030,13.045484492893253
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,Seattle,116,37,6920,14.151983508870947
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,Sammamish,45,0,17222,13.285333904916369
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,Seattle,70,16,7525,12.807655372286902
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,Seattle,86,56,12390,13.997832948091215
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,Kent,60,0,10920,12.398761113062513
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,Bellevue,69,0,8270,12.945628585536271
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,Auburn,28,0,10341,12.814481318719762
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,Des Moines,38,25,7228,12.460524923385575
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,North Bend,42,16,11457,12.524530013005734
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,Seattle,102,0,12818,13.527829818844937
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,Bellevue,71,46,10250,12.983103608918753
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,Seattle,20,0,3322,13.347107247525049
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,Bothell,34,0,14991,13.325305854052747
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,Seattle,66,36,7980,13.112315061750808
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,Federal Way,38,0,12924,12.560247968016562
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,Seattle,77,0,9651,13.329379172803593
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,Kirkland,105,0,13450,13.455975814408239
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,Issaquah,46,11,70338,13.42246945133505
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,Seattle,74,26,7350,13.579789490265188
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,Kirkland,58,0,10260,12.854486546624395
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,Woodinville,21,22,6205,13.122265372602016
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,Seattle,80,15,6820,13.384729180332174
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,Shoreline,11,0,11228,13.345508528717259
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,Auburn,46,11,46514,12.899222326086994
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,Federal Way,30,0,36391,13.311331132544721
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,Seattle,81,0,5650,12.994532278619134
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,Maple Valley,33,0,21816,12.567937598044296
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,Normandy Park,68,0,15060,12.90669432231532
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,Seattle,70,16,8940,13.527829818844937
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,Fall City,47,25,17795,12.721888795877375
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,Renton,51,0,10105,12.468440756144114
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,Shoreline,75,42,7024,12.639480363813412
